MonthlyDate,InflationYOY,TRMAvg,OccupationRate,UnemploymentRate,PolicyRate,ColcapIndex,MonthlyReturn
2018-01,3.679528,2868.57,57.3864,12.1374,4.5,1558.18,2.941895418359586
2018-02,3.372119,2860.25,57.8333,11.1882,4.5,1478.33,-5.124568406730933
2018-03,3.139859,2847.93,58.7333,9.7716,4.5,1455.52,-1.5429572558224414
2018-04,3.127613,2766.29,59.8379,9.7292,4.25,1565.56,7.56018467626689
2018-05,3.156785,2861.83,59.2541,9.9795,4.25,1546.71,-1.2040420041390831
2018-06,3.198022,2889.69,59.8918,9.3085,4.25,1577.01,1.958996838450644
2018-07,3.119155,2885.32,58.8793,10.0423,4.25,1526.6,-3.1965555069403573
2018-08,3.098241,2958.67,59.5938,9.4292,4.25,1542.77,1.059216559675091
2018-09,3.226776,3033.77,59.4706,9.6707,4.25,1506.07,-2.378838064001765
2018-10,3.33375,3084.83,60.0706,9.3615,4.25,1392.18,-7.562065508243299
2018-11,3.268097,3194.03,58.7952,8.9905,4.25,1379.24,-0.9294775100920916
2018-12,3.178001,3218.55,59.779,9.9891,4.25,1325.93,-3.865172123778304
2019-01,3.15,3165.19,56.4654,13.0752,4.25,1447.01,9.131703785267684
2019-02,3.01408,3115.84,57.551,12.0926,4.25,1508.27,4.233557473687122
2019-03,3.21321,3128.68,57.6751,11.1814,4.25,1587.74,5.268950519469318
2019-04,3.24747,3155.76,57.3141,10.6566,4.25,1573.64,-0.888054719286524
2019-05,3.30935,3304.49,57.5788,10.9519,4.25,1487.0,-5.505706514831865
2019-06,3.42622,3260.52,58.7831,9.7229,4.25,1548.98,4.1681237390719605
2019-07,3.78535,3206.6,57.0848,11.2807,4.25,1562.13,0.8489457578535697
2019-08,3.75022,3410.73,56.8598,11.1973,4.25,1559.52,-0.167079564440864
2019-09,3.81597,3399.46,57.3598,10.8003,4.25,1577.96,1.1824151020827012
2019-10,3.85561,3433.31,58.8641,10.1236,4.25,1633.15,3.497553803645226
2019-11,3.84291,3401.47,58.7449,9.6186,4.25,1627.25,-0.3612650399534733
2019-12,3.8043,3378.05,58.1924,9.9497,4.25,1662.42,2.161315102166239
2020-01,3.62228,3311.19,55.3277,13.4585,4.25,1623.83,-2.321314709880784
2020-02,3.72005,3411.05,56.0715,12.8131,4.25,1549.61,-4.570675501745869
2020-03,3.85593,3877.05,52.45,13.1828,3.75,1123.85,-27.47530023683379
2020-04,3.50642,3977.39,42.4971,20.4853,3.75,1142.04,1.618543399919914
2020-05,2.85408,3858.19,44.2397,21.972,3.25,1095.84,-4.045392455605768
2020-06,2.19332,3701.6,46.8915,20.3591,2.75,1111.8,1.4564169951817751
2020-07,1.97118,3657.87,45.945,20.9147,2.5,1134.34,2.02734304731067
2020-08,1.8781,3783.03,49.729,17.4427,2.25,1216.03,7.201544510464242
2020-09,1.96742,3750.22,51.0728,16.2928,1.75,1171.92,-3.627377614039118
2020-10,1.74814,3833.79,53.6637,15.2814,1.75,1136.75,-3.00105809270258
2020-11,1.48947,3685.63,53.5533,13.9128,1.75,1258.0,10.66637343303276
2020-12,1.61045,3466.13,53.7425,13.9142,1.75,1437.89,14.299682034976158
