MonthlyDate,InflationYOY,TRMAvg,OccupationRate,UnemploymentRate,PolicyRate,ColcapIndex,MonthlyReturn
1954-07,,,,,,,
1954-08,,,,,,,
1954-09,,,,,,,
1954-10,,,,,,,
1954-11,,,,,,,
1954-12,,,,,,,
1955-01,,,,,,,
1955-02,,,,,,,
1955-03,,,,,,,
1955-04,,,,,,,
1955-05,,,,,,,
1955-06,,,,,,,
1955-07,-0.87,,,,,,
1955-08,-0.01,,,,,,
1955-09,0.84,,,,,,
1955-10,0.77,,,,,,
1955-11,1.44,,,,,,
1955-12,2.03,,,,,,
1956-01,2.1,,,,,,
1956-02,2.57,,,,,,
1956-03,3.1,,,,,,
1956-04,3.04,,,,,,
1956-05,4.25,,,,,,
1956-06,5.28,,,,,,
1956-07,6.36,,,,,,
1956-08,5.76,,,,,,
1956-09,7.26,,,,,,
1956-10,8.31,,,,,,
1956-11,8.83,,,,,,
1956-12,7.91,,,,,,
1957-01,9.3,,,,,,
1957-02,10.3,,,,,,
1957-03,11.21,,,,,,
1957-04,12.97,,,,,,
1957-05,13.58,,,,,,
1957-06,17.15,,,,,,
1957-07,19.39,,,,,,
1957-08,21.43,,,,,,
1957-09,20.93,,,,,,
1957-10,21.17,,,,,,
1957-11,19.84,,,,,,
1957-12,20.69,,,,,,
1958-01,19.46,,,,,,
1958-02,18.05,,,,,,
1958-03,17.86,,,,,,
1958-04,17.24,,,,,,
1958-05,18.06,,,,,,
1958-06,13.9,,,,,,
1958-07,10.99,,,,,,
1958-08,10.47,,,,,,
1958-09,10.14,,,,,,
1958-10,8.92,,,,,,
1958-11,8.54,,,,,,
1958-12,7.98,,,,,,
1959-01,9.47,,,,,,
1959-02,10.34,,,,,,
1959-03,9.09,,,,,,
1959-04,8.96,,,,,,
1959-05,7.62,,,,,,
1959-06,7.87,,,,,,
1959-07,8.41,,,,,,
1959-08,7.78,,,,,,
1959-09,7.23,,,,,,
1959-10,7.14,,,,,,
1959-11,7.42,,,,,,
1959-12,7.81,,,,,,
1960-01,6.52,,,,,,
1960-02,5.24,,,,,,
1960-03,6.14,,,,,,
1960-04,5.49,,,,,,
1960-05,5.52,,,,,,
1960-06,4.93,,,,,,
1960-07,4.79,,,,,,
1960-08,4.96,,,,,,
1960-09,5.57,,,,,,
1960-10,6.12,,,,,,
1960-11,7.13,,,,,,
1960-12,7.35,,,,,,
1961-01,7.59,,,,,,
1961-02,8.36,,,,,,
1961-03,8.7,,,,,,
