Quarter,RealGDPGrowth
2006-Q1,6.04
2006-Q2,5.68
2006-Q3,7.67
2006-Q4,7.45
2007-Q1,6.83
2007-Q2,6.73
2007-Q3,6.87
2007-Q4,6.54
2008-Q1,5.47
2008-Q2,4.22
2008-Q3,3.28
2008-Q4,0.3
2009-Q1,-0.22
2009-Q2,0.94
2009-Q3,0.67
2009-Q4,3.18
2010-Q1,4.11
2010-Q2,4.23
2010-Q3,4.16
2010-Q4,5.45
2011-Q1,6.48
2011-Q2,6.94
2011-Q3,8.01
2011-Q4,6.36
2012-Q1,6.16
2012-Q2,4.69
2012-Q3,2.16
2012-Q4,2.74
2013-Q1,2.58
2013-Q2,5.2
2013-Q3,6.29
2013-Q4,6.46
2014-Q1,6.29
2014-Q2,3.85
2014-Q3,4.19
2014-Q4,3.74
2015-Q1,3.11
2015-Q2,3.28
2015-Q3,3.4
2015-Q4,2.05
2016-Q1,2.72
2016-Q2,1.96
2016-Q3,1.37
2016-Q4,2.31
2017-Q1,0.86
2017-Q2,1.63
2017-Q3,1.56
2017-Q4,1.39
2018-Q1,2.19
2018-Q2,2.33
2018-Q3,2.83
2018-Q4,2.9
2019-Q1,3.18
2019-Q2,3.39
2019-Q3,3.09
2019-Q4,3.08
2020-Q1,0.32
2020-Q2,-16.74
2020-Q3,-9.02
2020-Q4,-3.26
2021-Q1,1.78
2021-Q2,18.27
2021-Q3,13.52
2021-Q4,11.06
2022-Q1,7.68
2022-Q2,12.55
2022-Q3,7.37
2022-Q4,2.22
2023-Q1,2.67
2023-Q2,0.44
2023-Q3,-0.39
2023-Q4,0.68
2024-Q1,0.56
2024-Q2,1.21
2024-Q3,1.64
2024-Q4,2.57
2025-Q1,2.2
2025-Q2,2.28
2025-Q3,3.78
2025-Q4,2.03
2026-Q1,2.39
2026-Q2,3.37
