Fecha sistema,Metodología,Cobertura geográfica,Fecha (Mes año),Tasa de ocupación (%),Tasa de desempleo (%)
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2001-03-31 00:00:00,56.25916939,19.90882421
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2001-06-30 00:00:00,55.37125818,18.11287062
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2001-09-30 00:00:00,55.97264233,17.91728149
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2001-12-31 00:00:00,57.71665119,16.87809231
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2002-03-31 00:00:00,55.24836583,19.08860573
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2002-06-30 00:00:00,56.25314709,18.13595334
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2002-09-30 00:00:00,56.07816769,18.22586163
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2002-12-31 00:00:00,58.7689697,15.87848144
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2003-03-31 00:00:00,56.26901843,17.70932065
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2003-06-30 00:00:00,56.97055839,16.93847007
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2003-09-30 00:00:00,58.06736514,17.10964976
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2003-12-31 00:00:00,59.84179155,14.82215983
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2004-03-31 00:00:00,56.81938266,17.07205022
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2004-06-30 00:00:00,56.196309,15.50627888
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2004-09-30 00:00:00,57.94603572,14.70574179
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2004-12-31 00:00:00,58.62910175,13.55669324
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2005-03-31 00:00:00,56.68332586,15.55868903
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2005-06-30 00:00:00,58.23113802,13.69813297
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2005-09-30 00:00:00,58.03678127,13.54402944
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2005-12-31 00:00:00,60.01006586,11.85258829
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2006-03-31 00:00:00,58.82293396,13.57322227
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2006-06-30 00:00:00,58.15875208,12.69115587
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2006-09-30 00:00:00,57.73239184,12.41073745
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2006-12-31 00:00:00,57.47170129,11.7542709
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2007-03-31 00:00:00,57.3775393,12.78777737
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2007-06-30 00:00:00,58.51261521,11.30879209
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2007-09-30 00:00:00,59.01326856,10.93631928
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2007-12-31 00:00:00,60.30179453,9.48993236
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2008-03-31 00:00:00,59.32663055,12.05667858
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2008-06-30 00:00:00,59.24589829,11.47373133
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2008-09-30 00:00:00,60.01099938,11.33449833
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2008-12-31 00:00:00,59.38804347,10.47574373
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2009-03-31 00:00:00,58.66747903,13.89289719
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2009-06-30 00:00:00,60.53895365,12.54429679
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2009-09-30 00:00:00,60.34644043,12.69930154
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2009-12-31 00:00:00,61.9504358,11.95438289
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2010-03-31 00:00:00,60.2345653,13.42502088
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2010-06-30 00:00:00,61.06141408,12.4523937
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2010-09-30 00:00:00,61.92120679,11.93415248
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2010-12-31 00:00:00,63.34125573,10.57731085
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2011-03-31 00:00:00,60.71554959,12.87498736
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2011-06-30 00:00:00,62.22310802,11.1710701
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2011-09-30 00:00:00,63.14441935,10.23902752
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2011-12-31 00:00:00,64.12212885,10.11571338
08/09/2026 13:03:07,Metodología GEIH Empalme DANE 2022,Siete áreas metropolitanas,2012-03-31 00:00:00,61.62072471,12.02090646
