Fecha sistema,Fecha (DD/MM/AAAA),Nombre del índice,Índice,Variación absoluta,Variación porcentual
08/09/2026 12:56:07,2008-01-15 00:00:00,Índice del mercado bursátil colombiano - COLCAP,980.214,-19.785,-1.9785
08/09/2026 12:56:07,2008-01-16 00:00:00,Índice del mercado bursátil colombiano - COLCAP,958.9932,-21.2208,-2.1649
08/09/2026 12:56:07,2008-01-17 00:00:00,Índice del mercado bursátil colombiano - COLCAP,928.3796,-30.6136,-3.1923
08/09/2026 12:56:07,2008-01-18 00:00:00,Índice del mercado bursátil colombiano - COLCAP,903.485,-24.8946,-2.6815
08/09/2026 12:56:07,2008-01-21 00:00:00,Índice del mercado bursátil colombiano - COLCAP,832.3668,-71.1182,-7.8715
08/09/2026 12:56:07,2008-01-22 00:00:00,Índice del mercado bursátil colombiano - COLCAP,879.6671,47.3003,5.6826
08/09/2026 12:56:07,2008-01-23 00:00:00,Índice del mercado bursátil colombiano - COLCAP,890.8945,11.2274,1.2763
08/09/2026 12:56:07,2008-01-24 00:00:00,Índice del mercado bursátil colombiano - COLCAP,933.786,42.8915,4.8144
08/09/2026 12:56:07,2008-01-25 00:00:00,Índice del mercado bursátil colombiano - COLCAP,939.6051,5.8191,0.6232
08/09/2026 12:56:07,2008-01-28 00:00:00,Índice del mercado bursátil colombiano - COLCAP,930.9722,-8.6329,-0.9188
08/09/2026 12:56:07,2008-01-29 00:00:00,Índice del mercado bursátil colombiano - COLCAP,946.5078,15.5356,1.6688
08/09/2026 12:56:07,2008-01-30 00:00:00,Índice del mercado bursátil colombiano - COLCAP,936.5527,-9.9551,-1.0518
08/09/2026 12:56:07,2008-01-31 00:00:00,Índice del mercado bursátil colombiano - COLCAP,937.3271,0.7744,0.0827
08/09/2026 12:56:07,2008-02-01 00:00:00,Índice del mercado bursátil colombiano - COLCAP,938.1561,0.829,0.0884
08/09/2026 12:56:07,2008-02-04 00:00:00,Índice del mercado bursátil colombiano - COLCAP,945.1821,7.026,0.7489
08/09/2026 12:56:07,2008-02-05 00:00:00,Índice del mercado bursátil colombiano - COLCAP,920.474,-24.7081,-2.6141
08/09/2026 12:56:07,2008-02-06 00:00:00,Índice del mercado bursátil colombiano - COLCAP,900.8916,-19.5824,-2.1274
08/09/2026 12:56:07,2008-02-07 00:00:00,Índice del mercado bursátil colombiano - COLCAP,891.3037,-9.5879,-1.0643
08/09/2026 12:56:07,2008-02-08 00:00:00,Índice del mercado bursátil colombiano - COLCAP,906.0276,14.7239,1.652
08/09/2026 12:56:07,2008-02-11 00:00:00,Índice del mercado bursátil colombiano - COLCAP,920.7783,14.7507,1.6281
08/09/2026 12:56:07,2008-02-12 00:00:00,Índice del mercado bursátil colombiano - COLCAP,915.7368,-5.0415,-0.5475
08/09/2026 12:56:07,2008-02-13 00:00:00,Índice del mercado bursátil colombiano - COLCAP,918.8485,3.1117,0.3398
08/09/2026 12:56:07,2008-02-14 00:00:00,Índice del mercado bursátil colombiano - COLCAP,928.6693,9.8208,1.0688
08/09/2026 12:56:07,2008-02-15 00:00:00,Índice del mercado bursátil colombiano - COLCAP,929.6327,0.9634,0.1037
08/09/2026 12:56:07,2008-02-18 00:00:00,Índice del mercado bursátil colombiano - COLCAP,944.247,14.6143,1.5721
08/09/2026 12:56:07,2008-02-19 00:00:00,Índice del mercado bursátil colombiano - COLCAP,945.3986,1.1516,0.122
08/09/2026 12:56:07,2008-02-20 00:00:00,Índice del mercado bursátil colombiano - COLCAP,941.3807,-4.0179,-0.425
08/09/2026 12:56:07,2008-02-21 00:00:00,Índice del mercado bursátil colombiano - COLCAP,944.3819,3.0012,0.3188
08/09/2026 12:56:07,2008-02-22 00:00:00,Índice del mercado bursátil colombiano - COLCAP,940.0535,-4.3284,-0.4583
08/09/2026 12:56:07,2008-02-25 00:00:00,Índice del mercado bursátil colombiano - COLCAP,938.4855,-1.568,-0.1668
08/09/2026 12:56:07,2008-02-26 00:00:00,Índice del mercado bursátil colombiano - COLCAP,938.5766,0.0911,0.0097
08/09/2026 12:56:07,2008-02-27 00:00:00,Índice del mercado bursátil colombiano - COLCAP,935.1515,-3.4251,-0.3649
08/09/2026 12:56:07,2008-02-28 00:00:00,Índice del mercado bursátil colombiano - COLCAP,931.0341,-4.1174,-0.4403
08/09/2026 12:56:07,2008-02-29 00:00:00,Índice del mercado bursátil colombiano - COLCAP,914.902,-16.1321,-1.7327
08/09/2026 12:56:07,2008-03-03 00:00:00,Índice del mercado bursátil colombiano - COLCAP,896.7302,-18.1718,-1.9862
08/09/2026 12:56:07,2008-03-04 00:00:00,Índice del mercado bursátil colombiano - COLCAP,859.793,-36.9372,-4.1191
08/09/2026 12:56:07,2008-03-05 00:00:00,Índice del mercado bursátil colombiano - COLCAP,897.6132,37.8202,4.3988
08/09/2026 12:56:07,2008-03-06 00:00:00,Índice del mercado bursátil colombiano - COLCAP,889.83,-7.7832,-0.8671
08/09/2026 12:56:07,2008-03-07 00:00:00,Índice del mercado bursátil colombiano - COLCAP,900.7931,10.9631,1.232
08/09/2026 12:56:07,2008-03-10 00:00:00,Índice del mercado bursátil colombiano - COLCAP,907.8282,7.0351,0.781
08/09/2026 12:56:07,2008-03-11 00:00:00,Índice del mercado bursátil colombiano - COLCAP,911.7186,3.8904,0.4285
08/09/2026 12:56:07,2008-03-12 00:00:00,Índice del mercado bursátil colombiano - COLCAP,914.8944,3.1758,0.3483
08/09/2026 12:56:07,2008-03-13 00:00:00,Índice del mercado bursátil colombiano - COLCAP,912.7449,-2.1495,-0.2349
08/09/2026 12:56:07,2008-03-14 00:00:00,Índice del mercado bursátil colombiano - COLCAP,902.1264,-10.6185,-1.1634
08/09/2026 12:56:07,2008-03-17 00:00:00,Índice del mercado bursátil colombiano - COLCAP,890.5737,-11.5527,-1.2806
